date,total_sens,dem_sens,rep_sens,other_sens,total_reps,dem_reps,rep_reps,other_reps
1913-04-03,96,51,43,1,435,230,193,10
1921-04-03,96,37,59,0,435,132,300,1
1923-02-08,96,43,51,1,435,195,236,3
1929-04-03,96,43,52,1,435,190,242,1
1933-04-03,96,65,27,2,435,286,141,7
1945-12-04,96,51,44,0,435,232,201,1
1953-01-20,96,51,44,0,435,240,194,0
1961-01-20,100,64,36,0,437,262,175,0
1963-11-22,100,66,33,0,435,266,167,0
1969-01-20,100,56,43,1,435,249,186,0
1974-09-08,100,58,39,2,435,266,168,0
1977-01-20,100,59,39,1,435,284,150,0
1981-01-20,100,48,51,0,435,255,179,0
1989-01-20,100,55,44,0,435,263,171,0
1993-01-20,100,48,51,0,435,220,213,1
2001-01-20,100,47,51,1,435,213,220,1
2009-01-20,100,51,46,2,435,209,225,0
2017-01-20,100,46,52,2,435,194,241,0
2021-01-20,100,46,52,2,435,194,241,0
